0	156	0
0	0	1
0	157	2
0	158	3
0	159	4
0	160	5
0	161	6
0	162	7
0	163	7
0	164	7
0	165	7
1	166	0
1	1	1
1	167	8
1	168	9
1	169	10
1	170	11
1	171	12
1	172	13
1	173	2
1	174	14
1	175	15
1	176	16
1	177	3
1	178	4
1	179	17
1	162	7
1	163	7
1	164	7
1	180	7
2	181	0
2	2	18
2	182	19
2	183	20
2	184	21
2	185	7
3	186	0
3	187	7
4	188	0
4	4	18
4	189	22
4	190	23
4	191	24
4	187	7
5	192	0
5	5	18
5	193	25
5	187	7
5	194	7
6	195	0
6	6	18
6	196	19
6	197	26
6	198	27
6	199	28
6	200	7
6	201	7
6	202	7
6	203	7
6	187	7
6	204	7
7	205	0
7	7	18
7	206	19
7	207	29
7	208	30
7	209	31
7	210	7
7	187	7
8	211	0
8	212	31
8	213	32
8	214	33
8	215	34
8	216	35
8	217	36
8	218	7
8	187	7
9	219	0
9	9	18
9	220	19
9	210	7
9	187	7
10	221	0
10	222	18
10	223	19
10	224	37
10	225	38
10	226	39
10	227	22
10	228	40
10	229	7
10	230	7
10	231	7
11	232	0
11	233	18
11	11	19
11	234	41
11	235	42
11	236	43
11	237	22
11	187	7
12	238	0
12	239	18
12	240	19
12	241	44
12	187	7
13	242	0
13	243	18
13	244	19
13	245	28
13	246	27
13	247	7
13	187	7
13	194	7
14	248	0
14	14	18
14	249	19
14	250	45
14	251	46
14	252	47
14	253	48
14	254	49
14	201	7
14	255	7
14	187	7
15	256	0
15	15	18
15	257	19
15	201	22
15	258	50
15	201	7
15	255	7
15	187	7
16	259	0
16	16	18
16	260	19
16	261	51
16	262	52
16	201	7
16	187	7
17	263	0
17	264	31
17	265	32
17	266	33
17	267	34
17	268	35
17	269	36
17	218	7
17	187	7
18	270	0
18	18	18
18	271	8
18	272	53
18	273	54
18	200	7
18	187	7
19	274	0
19	19	18
19	275	19
19	276	55
19	277	56
19	278	57
19	279	58
19	280	7
19	281	7
19	282	7
19	283	7
19	284	7
19	164	7
20	285	0
20	20	18
20	286	19
20	287	46
20	288	44
20	289	59
20	290	60
20	291	7
20	187	7
21	292	0
21	293	18
21	294	19
21	295	8
21	296	8
21	297	61
21	298	62
21	299	63
21	300	7
21	301	7
21	302	7
